indes,season,episodes,title
1,1,1,オタク青年4人とセクシー美女の法則
2,1,2,潔癖症と散らかった部屋の法則
3,1,3,オタク青年と片思いの法則
4,1,4,オタク青年と母親の法則
5,1,5,オタク青年とお似合いカップルの法則
6,1,6,オタク青年とハロウィーン・パーティーの法則
7,1,7,4-1＝0の法則
8,1,8,オタク青年とアルコールの法則
9,1,9,オタク青年とプレゼンの法則
10,1,10,ウソから出たウソの法則
11,1,11,病院から逃げるための法則
12,1,12,天才 VS 天才少年の法則
13,1,13,AAA VS PMSの法則
14,1,14,オタク卒業の法則
15,1,15,美人すぎる妹の法則
16,1,16,誕生日パーティーを秘密にする法則
17,1,17,シュレーディンガーの猫の法則
18,2,1,恋愛と学歴の法則
19,2,2,友情と愛情の法則
20,2,3,ペニーとネトゲ廃人の法則
21,2,4,傲慢と友情の法則
22,2,5,オタク青年と運転免許の法則
23,2,6,物理オタクと女学生の法則
24,2,7,オタク青年と対決するための法則
25,2,8,トカゲとスポックの法則
26,2,9,ドクター・マッコイ確保の法則
27,2,10,同棲解消の法則
28,2,11,クリスマス・プレゼント選びの法則
29,2,12,モテない男とロボット対決の法則
30,2,13,オタク式友達作りの法則
31,2,14,オタク式お金の貸し借りの法則
32,2,15,母と息子の友達の法則
33,2,16,クッションとペイントボールの法則
34,2,17,ターミネーター キャメロン VS オタクの法則
35,2,18,オタク式ビジネスの法則
36,2,19,新旧女王蜂の法則
37,2,20,木曜は何でもありの法則
38,2,21,失恋とベガス旅行の法則
39,2,22,女心とデートの真相の法則
40,2,23,オタク式北極調査の法則
41,3,1,電動缶切りと家出の法則
42,3,2,コミックブックとコオロギの法則
43,3,3,ゴス・ワールドとタトゥーの法則
44,3,4,国外退去と海賊の法則
45,3,5,カードゲームと復讐の法則
46,3,6,カップルと共通の趣味の法則
47,3,7,言い争いと居場所の法則
48,3,8,アヒルと子ネコの法則
49,3,9,デート3回でプロポーズの法則
50,3,10,ゴリラ・プロジェクトの法則
51,3,11,クリスマスの親子愛の法則
52,3,12,グリーンランタン+ハルク=ガールフレンドの法則
53,3,13,犯罪と転居の法則
54,3,14,アインシュタインと転職の法則
55,3,15,大型ハドロン・コライダーとバレンタイン・デーの法則
56,3,16,憧れのスタン・リーに接近するための法則
57,3,17,ひとつの指輪と友情の法則
58,3,18,スピーチと消えたズボンの法則
59,3,19,ウィル・ウィートンとカップルのタイミングの法則
60,3,20,イタリアンな語り合いの法則
61,3,21,天才女性物理学者がお泊まりした場合の法則
62,3,22,オタク4人の出会いの法則
63,3,23,春来たる? ギークなボクにも恋愛法則
64,4,1,オタク式ロボットアーム活用の法則
65,4,2,オタク青年 VS スティーブ・ウォズニアックの法則
66,4,3,オタク式破局の法則
67,4,4,ケイティー・サッコフとジョージ・タケイの法則
68,4,5,ガールフレンドの母親とご対面の法則
69,4,6,友達の妹と裏切りの法則
70,4,7,FBIの身元調査法則
71,4,8,ウィル・ウィートンと行列の法則
72,4,9,復縁とルームメイト協定の法則
73,4,10,バルカン人式感情の抑圧法則
74,4,11,コスプレはジャスティス・リーグの法則
75,4,12,アプリ開発とバス・ズボンの法則
76,4,13,男女7人
77,4,14,講義と演技の法則
78,4,15,研究資金とバイ菌恐怖症の法則
79,4,16,オタク式同棲の法則
80,4,17,カラオケとチリビーンズの法則
81,4,18,カレとカノジョと元カノの法則
82,4,19,オタク式
